DATETIME, REPOSITORY_URL, BRANCH, SCORE, LEVEL, RESULT, DROP_INTERVAL, VALUE_MODE, VALUE_PREDICT_WEIGHT, 1LINE_SCORE, 2LINE_SCORE, 3LINE_SCORE, 4LINE_SCORE, GAMEOVER_SCORE, DROPDOWN_SCORE, BLOCK_NO, TRIAL_NUM, SCORE_MEAN, SCORE_STDEV, SCORE_MAX, SCORE_MIN
2022/03/22_19:52:56, https://github.com/isshy-you/tetris, ish05h3, 11088, 3, SUCCESS, 1000, -, -, 2800, 4800, 700, 1300, 0, 1488, 180, 10, 11088.00, 0.00, 11088, 11088
2022/07/09_23:04:39, https://github.com/seigot/tetris, master, 11085, 3, SUCCESS, 1000, predict_sample2, weight/MLP/sample_weight.pt, 4000, 4800, 0, 0, 0, 2285, 180, 10, 5701.20, 2025.89, 11085, 3970
2022/09/12_10:01:13, https://github.com/isshy-you/tetris, ish06c, 10931, 3, SUCCESS, 1, default, outputs/latest/best_weight.pt, 2400, 3000, 2100, 2600, -500, 1331, 180, 10, 7724.20, 2501.10, 10931, 2862
2022/07/09_1:57:26, https://github.com/seigot/tetris, master, 10822, 3, SUCCESS, 1000, predict_sample, weight/DQN/sample_weight.pt, 4800, 2700, 0, 1300, 0, 2022, 180, , , , ,
2022/03/23_23:47:00, https://github.com/isshy-you/tetris, ish05h3, 10688, 3, SUCCESS, 1000, -, -, 2400, 3300, 2800, 1300, -500, 1388, 180, , , , ,
2022/07/09_1:57:26, https://github.com/seigot/tetris, master, 10383, 3, SUCCESS, 1000, predict_sample, weight/DQN/sample_weight.pt, 4900, 2400, 1400, 0, 0, 1683, 180, 10, 9551.70, 651.72, 10383, 8436
2022/09/12_23:09:40, https://github.com/isshy-you/tetris, ish07b_lv3, 10381, 3, SUCCESS, 1000, default, outputs/latest/best_weight.pt, 2300, 2700, 700, 3900, -500, 1281, 180, 10, 7524.80, 1892.65, 10381, 5186
2022/07/09_23:04:13, https://github.com/seigot/tetris, master, 10292, 3, SUCCESS, 1000, predict_sample, weight/DQN/sample_weight.pt, 5700, 2400, 0, 0, 0, 2192, 180, 10, 9461.10, 779.52, 10292, 7706
2022/08/26_23:33:55, https://github.com/isshy-you/tetris, ish06c, 10179, 3, SUCCESS, 1000, default, outputs/latest/best_weight.pt, 2100, 900, 6300, 0, -500, 1379, 180, 10, 7040.30, 1879.14, 10179, 5114
2022/09/12_9:30:16, https://github.com/isshy-you/tetris, ish06c, 10022, 3, SUCCESS, 1, default, outputs/latest/best_weight.pt, 2700, 3000, 2100, 1300, -500, 1422, 180, 10, 6751.90, 1820.00, 10022, 3132
2022/03/22_21:46:51, https://github.com/isshy-you/tetris, ish05g6, 9960, 3, SUCCESS, 1000, -, -, 2200, 3300, 2100, 1300, -500, 1560, 180, 10, 5914.90, 2242.94, 9960, 3733
2022/09/12_9:49:40, https://github.com/isshy-you/tetris, ish06c, 9900, 3, SUCCESS, 1, default, outputs/latest/best_weight.pt, 2700, 2700, 2100, 1300, -500, 1600, 180, 10, 7310.70, 2588.32, 9900, 3062
2022/01/21_18:32:23, https://github.com/yuin0/tetris, master, 9658, 3, SUCCESS, 1000, -, -, 4700, 2700, 700, 0, 0, -, -, -, -, -, -, -
2022/03/17_0:51:14, https://github.com/isshy-you/tetris, ish05d, 9646, 3, SUCCESS, 1000, -, -, 1000, 3600, 2100, 2600, -1000, 1346, 180, 10, 5299.90, 2569.70, 9646, 2104
2022/09/06_23:03:55, https://github.com/cookie4869/tetris, cookie3_branch, 9418, 3, SUCCESS, 1000, predict, outputs/2022-09-06-08-01-43/trained_model/tetris_epoch1683_score71700.pt, 3300, 3000, 1400, 0, 0, 1718, 152, 10, 2584.10, 3571.02, 9418, 653
2022/07/09_1:58:07, https://github.com/seigot/tetris, master, 9354, 3, SUCCESS, 1000, predict_sample2, weight/MLP/sample_weight.pt, 6700, 300, 700, 0, 0, 1654, 180, 10, 6149.80, 1861.85, 9354, 3902
2022/01/22_1:13:44, https://github.com/isshy-you/tetris, master, 9210, 3, SUCCESS, 1000, -, -, 1200, 3000, 0, 5200, -1500, -, -, -, -, -, -, -
2022/09/12_10:00:40, https://github.com/isshy-you/tetris, ish06c, 8777, 3, SUCCESS, 1, default, outputs/latest/best_weight.pt, 2600, 1200, 2100, 2600, -1000, 1277, 180, 10, 7201.60, 1064.07, 8777, 5455
2022/09/02_0:56:12, https://github.com/AtsutoshiNaraki/tetris, master, 8443, 3, SUCCESS, 1000, default, outputs/latest/best_weight.pt, 1400, 1800, 1400, 3900, -1500, 1443, 180, 10, 1779.60, 2946.61, 8443, -1491
2022/07/09_1:58:07, https://github.com/seigot/tetris, master, 7092, 3, SUCCESS, 1000, predict_sample2, weight/MLP/sample_weight.pt, 5000, 300, 700, 0, -500, 1592, 180, , , , ,
2022/02/19_23:56:51, https://github.com/isshy-you/tetris, ish04f, 6467, 3, SUCCESS, 1000, -, -, 2800, 1200, 0, 2600, -1500, 1367, 180, 10, 2400.60, 2486.92, 6467, -622
2022/02/14_0:41:08, https://github.com/isshy-you/tetris, ish04e, 5618, 3, SUCCESS, 1000, -, -, 2100, 3000, 700, 0, -1500, 1318, 180, 10, 2140.90, 1929.14, 5618, -921
2022/02/19_21:55:27, https://github.com/isshy-you/tetris, ish04e, 5445, 3, SUCCESS, 1000, -, -, 2200, 1500, 700, 1300, -1500, 1245, 180, 10, 2966.90, 1959.20, 5445, -910
2022/02/27_0:08:06, https://github.com/isshy-you/tetris, ish05a, 5338, 3, SUCCESS, 1000, -, -, 500, 900, 0, 5200, -2500, 1238, 180, 10, 594.80, 2550.13, 5338, -2734
2022/03/14_0:34:42, https://github.com/isshy-you/tetris, ish05b, 4414, 3, SUCCESS, 1000, -, -, 700, 1800, 1400, 1300, -2000, 1214, 180, 10, 1159.40, 2095.38, 4414, -1883
2022/02/06_18:28:17, https://github.com/isshy-you/tetris, ish04f, 3589, 3, SUCCESS, 1000, -, -, 2700, 1500, 0, 0, -2000, 1389, 180, -, -, -, -, -
2022/02/05_23:25:52, https://github.com/isshy-you/tetris, ish04e, 3200, 3, SUCCESS, 1000, -, -, 2400, 600, 1400, 0, -2500, 1300, 180, -, -, -, -, -
2022/02/12_22:50:11, https://github.com/isshy-you/tetris, master, 2396, 3, SUCCESS, 1000, -, -, 800, 1200, 2100, 0, -3000, 1296, 180, 10, -454.50, 1538.11, 2396, -2988
2022/02/05_23:25:08, https://github.com/isshy-you/tetris, ish04f, 1540, 3, SUCCESS, 1000, -, -, 1500, 600, 700, 0, -2500, 1240, 180, -, -, -, -, -
2022/09/11_1:05:20, https://github.com/cookie4869/tetris, cookie3_branch, 646, 3, SUCCESS, 1000, predict, outputs/2022-09-06-08-01-43/trained_model/tetris_epoch2577_score71800.pt, 200, 300, 0, 0, 0, 146, 15, 10, 179.10, 229.43, 646, 21
2022/09/11_1:42:46, https://github.com/cookie4869/tetris, cookie3_branch, 537, 3, SUCCESS, 1000, predict, outputs/latest/best_weight.pt, 100, 300, 0, 0, 0, 137, 13, 10, 258.40, 192.75, 537, 50
2022/02/05_21:58:33, https://github.com/isshy-you/tetris, ish04f, 451, 3, SUCCESS, 1000, -, -, 1200, 300, 700, 0, -3000, 1251, 180, -, -, -, -, -
